"nhd_id","name","nobs","start","end"
"nhd_120052195","Lake of the Woods",1493,1980-07-10,2015-08-27
"nhd_120052233","Rainy",3859,1980-05-13,2015-10-21
"nhd_120052238","Kabetogama",4645,1980-05-12,2015-10-19
"nhd_120052889","Red",1864,1985-08-07,2015-12-31
"nhd_120052896","Winnibigoshish",768,1981-08-19,2015-07-30
"nhd_13293262","Mendota",51643,1980-04-13,2015-11-02
"nhd_167122137","Cass",2830,1986-05-13,2015-12-31
"nhd_2360642","Mille Lacs",11984,1981-06-17,2015-12-31
"nhd_4817675","Leech",502,2007-07-09,2015-09-21
"nhd_7142570","Vermilion",14988,1983-08-18,2015-12-31
