"","cd","kw","coef_mix_shear"
"1",0.00112,0.43275528,0.16
"2",0.00126,0.43275528,0.16
"3",0.0014,0.43275528,0.16
"4",0.00154,0.43275528,0.16
"5",0.00168,0.43275528,0.16
"6",0.00112,0.48684969,0.16
"7",0.00126,0.48684969,0.16
"8",0.0014,0.48684969,0.16
"9",0.00154,0.48684969,0.16
"10",0.00168,0.48684969,0.16
"11",0.00112,0.5409441,0.16
"12",0.00126,0.5409441,0.16
"13",0.0014,0.5409441,0.16
"14",0.00154,0.5409441,0.16
"15",0.00168,0.5409441,0.16
"16",0.00112,0.59503851,0.16
"17",0.00126,0.59503851,0.16
"18",0.0014,0.59503851,0.16
"19",0.00154,0.59503851,0.16
"20",0.00168,0.59503851,0.16
"21",0.00112,0.64913292,0.16
"22",0.00126,0.64913292,0.16
"23",0.0014,0.64913292,0.16
"24",0.00154,0.64913292,0.16
"25",0.00168,0.64913292,0.16
"26",0.00112,0.43275528,0.18
"27",0.00126,0.43275528,0.18
"28",0.0014,0.43275528,0.18
"29",0.00154,0.43275528,0.18
"30",0.00168,0.43275528,0.18
"31",0.00112,0.48684969,0.18
"32",0.00126,0.48684969,0.18
"33",0.0014,0.48684969,0.18
"34",0.00154,0.48684969,0.18
"35",0.00168,0.48684969,0.18
"36",0.00112,0.5409441,0.18
"37",0.00126,0.5409441,0.18
"38",0.0014,0.5409441,0.18
"39",0.00154,0.5409441,0.18
"40",0.00168,0.5409441,0.18
"41",0.00112,0.59503851,0.18
"42",0.00126,0.59503851,0.18
"43",0.0014,0.59503851,0.18
"44",0.00154,0.59503851,0.18
"45",0.00168,0.59503851,0.18
"46",0.00112,0.64913292,0.18
"47",0.00126,0.64913292,0.18
"48",0.0014,0.64913292,0.18
"49",0.00154,0.64913292,0.18
"50",0.00168,0.64913292,0.18
"51",0.00112,0.43275528,0.2
"52",0.00126,0.43275528,0.2
"53",0.0014,0.43275528,0.2
"54",0.00154,0.43275528,0.2
"55",0.00168,0.43275528,0.2
"56",0.00112,0.48684969,0.2
"57",0.00126,0.48684969,0.2
"58",0.0014,0.48684969,0.2
"59",0.00154,0.48684969,0.2
"60",0.00168,0.48684969,0.2
"61",0.00112,0.5409441,0.2
"62",0.00126,0.5409441,0.2
"63",0.0014,0.5409441,0.2
"64",0.00154,0.5409441,0.2
"65",0.00168,0.5409441,0.2
"66",0.00112,0.59503851,0.2
"67",0.00126,0.59503851,0.2
"68",0.0014,0.59503851,0.2
"69",0.00154,0.59503851,0.2
"70",0.00168,0.59503851,0.2
"71",0.00112,0.64913292,0.2
"72",0.00126,0.64913292,0.2
"73",0.0014,0.64913292,0.2
"74",0.00154,0.64913292,0.2
"75",0.00168,0.64913292,0.2
"76",0.00112,0.43275528,0.22
"77",0.00126,0.43275528,0.22
"78",0.0014,0.43275528,0.22
"79",0.00154,0.43275528,0.22
"80",0.00168,0.43275528,0.22
"81",0.00112,0.48684969,0.22
"82",0.00126,0.48684969,0.22
"83",0.0014,0.48684969,0.22
"84",0.00154,0.48684969,0.22
"85",0.00168,0.48684969,0.22
"86",0.00112,0.5409441,0.22
"87",0.00126,0.5409441,0.22
"88",0.0014,0.5409441,0.22
"89",0.00154,0.5409441,0.22
"90",0.00168,0.5409441,0.22
"91",0.00112,0.59503851,0.22
"92",0.00126,0.59503851,0.22
"93",0.0014,0.59503851,0.22
"94",0.00154,0.59503851,0.22
"95",0.00168,0.59503851,0.22
"96",0.00112,0.64913292,0.22
"97",0.00126,0.64913292,0.22
"98",0.0014,0.64913292,0.22
"99",0.00154,0.64913292,0.22
"100",0.00168,0.64913292,0.22
"101",0.00112,0.43275528,0.24
"102",0.00126,0.43275528,0.24
"103",0.0014,0.43275528,0.24
"104",0.00154,0.43275528,0.24
"105",0.00168,0.43275528,0.24
"106",0.00112,0.48684969,0.24
"107",0.00126,0.48684969,0.24
"108",0.0014,0.48684969,0.24
"109",0.00154,0.48684969,0.24
"110",0.00168,0.48684969,0.24
"111",0.00112,0.5409441,0.24
"112",0.00126,0.5409441,0.24
"113",0.0014,0.5409441,0.24
"114",0.00154,0.5409441,0.24
"115",0.00168,0.5409441,0.24
"116",0.00112,0.59503851,0.24
"117",0.00126,0.59503851,0.24
"118",0.0014,0.59503851,0.24
"119",0.00154,0.59503851,0.24
"120",0.00168,0.59503851,0.24
"121",0.00112,0.64913292,0.24
"122",0.00126,0.64913292,0.24
"123",0.0014,0.64913292,0.24
"124",0.00154,0.64913292,0.24
"125",0.00168,0.64913292,0.24
